filename,ground_truth,deepgram_transcript,deepgram_latency,deepgram_confidence,deepgram_status,whisper_base_transcript,whisper_base_latency,whisper_base_status,whisper_small_transcript,whisper_small_latency,whisper_small_status,google_transcript,google_latency,google_confidence,google_status
32_btm_layout_metro_phone.ogg,Office mera BTM Layout mein hai,Office मेरा BTM layout में है.,1.4714021682739258,0.90722656,success,тиpal,4.172204256057739,success,अफिस मेरा बिल्टिया में लेए वो तुमें है,4.687978744506836,success,ऑफिस मेरा बीटीएम लेआउट में है।,1.3257596492767334,0.9405648112297058,success
33_majestic_metro_phone.ogg,Main Majestic area mein hoon,मैं मैं just a very mummy.,1.0567734241485596,0.28710938,success,На my Listey und,4.682647705078125,success,वाँ वाँ ज़ाश्टीप यार यार मेंगनें,4.034977436065674,success,मैं मजेस्टिक एरिया में हूं।,2.004150390625,0.719115138053894,success
34_silk_board_metro_phone.ogg,Main Silk Board ke paas rehta hoon,मेरा घर सिल्क board के पास में,3.0176730155944824,0.9951172,success,narrower   noticed,5.375454425811768,success,अरा गर शिल्ग भोड के पासने,3.6601755619049072,success,मेरा घर सिल्क बोर्ड के पास में।,1.2316617965698242,0.8593634366989136,success
35_bellandur_metro_phone.ogg,Mera ghar Bellandur mein hai,मैं बिलम्बुर में रहता हूं,3.5791797637939453,0.8305664,success,mam belam durnera during,4.344025135040283,success,मैं बे लंबुर मेरा ताम।,3.2348921298980713,success,मैं बेलंदुर में रहता हूं।,1.286031723022461,0.8336840867996216,success
36_sarjapur_metro_phone.ogg,Main Sarjapur side hoon,मेरा घर शाहजहांपुर side है.,3.6041510105133057,0.93603516,success,nera certification,5.5990166664123535,success,मेरा गर्न सार्जा पूर्साइद,3.992902994155884,success,मेरा घर शाजापुर साइड है।,1.3040759563446045,0.9036162495613098,success
37_bommanahalli_metro_phone.ogg,Main Bommanahalli mein rehta hoon,मैं बोमन early side रहता हूं,14.294930219650269,0.8477539,success,عدlings naar nominated nendip,21.097153902053833,success,,20.14261817932129,success,मैं बोम्मनहल्ली साक्षरता!,2.020810604095459,0.627181351184845,success
38_kr_puram_metro_phone.ogg,Mera ghar KR Puram mein hai,चलो ठीक हैं. मेरा घर KR पुरम side हैं.,3.2103989124298096,0.8857422,success,देरा पेर भूरम सायदा,2.72517466545105,success,अरा गर प्यर भूरम साइड है,3.4149365425109863,success,मेरा घर के आर पुरम साइड है।,1.31488037109375,0.8718411326408386,success
39_peenya_metro_phone.ogg,Main Peenya area mein hoon,मैं पिनिया side रहता हूं.,1.2769033908843994,0.82958984,success,Heap Thanyas Adra,4.616714239120483,success,अपिन्या साथ रठा हों,6.347957372665405,success,आप इंडिया साइड रहता हूं?,1.2553911209106445,0.729649007320404,success
40_yeshwanthpur_metro_phone.ogg,Main Yeshwanthpur mein rehta hoon,यशवंतपुर में रहता हूं.,2.0503811836242676,0.9448242,success,Jay Yes want to do it,4.240221977233887,success,तभए ज़ मू� dos ने दा तामी,43.90347361564636,success,यशवंतपुर में रहता हूं।,1.2195069789886475,0.9171096086502075,success
41_indiranagar_metro_earphone.ogg,Haan main Indiranagar mein rehta hoon,मेरा घर इन्द्रनगर में है.,6.302310228347778,0.84765625,success,Nairador Indira hurricane,20.61319398880005,success,नेरादर अंद्रा नकर्ष्मोगो,3.615706205368042,success,मेरा घर इंदिरानगर!,1.3081698417663574,0.7966506481170654,success
42_whitefield_metro_earphone.ogg,Mera ghar Whitefield mein hai,मैं White Pill side रहता हूं.,2.3227875232696533,0.97314453,success,My life feels so good for me.,0.8583540916442871,success,मैं वाईट भील साँट अखाई,3.7812700271606445,success,मैं व्हाइटफील्ड साइड रहता हूं।,1.239473819732666,0.8112908601760864,success
43_koramangala_metro_earphone.ogg,Main Koramangala mein hoon,हां मैं कौर मंडला रहता हूं.,3.1494338512420654,0.86035156,success,दåर आवेम कुर muhtwiyokkat эगवर,12.188278436660767,success,"अ, मैं कोर मद्रेः करते हैं।",3.965175151824951,success,हां मैं कोर बंगला।,1.4464390277862549,0.6771039366722107,success
44_electronic_city_metro_earphone.ogg,Main Electronic City mein rehta hoon,Electronics,1.206573486328125,0.5786133,success,wa actative ok 문ha Advance,10.767527341842651,success,Ryan,47.73183298110962,success,भारत का मैच!,2.9085564613342285,0.4155844449996948,success
45_marathahalli_metro_earphone.ogg,Mera ghar Marathahalli mein hai,,3.381608486175537,0.0,success,porα Φατι,22.521617889404297,success,ये रान्वु और तान्वी ये तान्वी,3.8080012798309326,success,रंग।,1.50352144241333,0.3772352635860443,success
46_jayanagar_metro_earphone.ogg,Main Jayanagar side hoon,मैं जो है आपके पास करता हूं.,2.8672008514404297,0.8774414,success,maha se aing wam kar koni mga son mal,21.4887273311615,success,बाज़ा अगर ते पास करता हैं,3.7366721630096436,success,माय जान आपके पास आता हूं।,1.4533982276916504,0.760004997253418,success
47_rajajinagar_metro_earphone.ogg,Mera ghar Rajajinagar mein hai,मेरा घर राजा जी नगर में है.,3.555077075958252,0.98291016,success,ல Бیرا degradation مجھہ میں ہے,5.9009387493133545,success,बेरा रगर राजाजी नगर में है,3.399832010269165,success,मेरा घर राजाजी नगर में है।,1.3858458995819092,0.772064745426178,success
48_hebbal_metro_earphone.ogg,Main Hebbal ke paas rehta hoon,मैं happy side हूं.,0.9875845909118652,0.9111328,success,My happen site,0.6833453178405762,success,मैं हैप्वल साई तुम,2.9189257621765137,success,महिपाल साइट!,1.1580417156219482,0.49325031042099,success
49_yelahanka_metro_earphone.ogg,Main Yelahanka side hoon,मैं अकेला हल्का हूं मैं.,3.452096939086914,0.43218994,success,9.00,10.741039276123047,success,बाई ये लाएं काई वाँना,3.3516547679901123,success,भाई अकेला हम काम।,1.4607484340667725,0.6085264086723328,success
50_banashankari_metro_earphone.ogg,Mera ghar Banashankari mein hai,मेरा घर मानो संकरी बहन है.,4.41550350189209,0.7175293,success,eradhar проேyo s fridge,22.90311026573181,success,वेरादर बनो संक्री बेणें,3.3622474670410156,success,निरादर बनाशंकरी दे।,1.3260831832885742,0.5920677781105042,success
51_hsr_layout_metro_earphone.ogg,Main HSR Layout mein rehta hoon,मैं hsr layout में रहता हूं.,1.6120216846466064,0.9863281,success,My SSR layout method down.,0.9304544925689697,success,मैं Hsr लेअट मेरे ता हूँ,3.66159725189209,success,मैं एचएसआर लेआउट में रहता हूं।,1.3958308696746826,0.865441620349884,success
52_btm_layout_metro_earphone.ogg,Office mera BTM Layout mein hai,Office मेरा BPM layout में है.,9.106085538864136,0.9790039,success,��being....,4.499238967895508,success,अफिस मेरा बी पी आमले अटने है,3.713127851486206,success,ऑफिस मेरा बीटीएम लेआउट में है।,1.2196414470672607,0.9553427696228027,success
53_majestic_metro_earphone.ogg,Main Majestic area mein hoon,मैं मैं district area में रहता हूं.,4.12487268447876,0.9921875,success,Talking in My Are Not,5.154741525650024,success,माजा श्टिक यो भी आप ड़ा ताँ वुग।,4.129885911941528,success,मैं अपने डिस्ट्रिक्ट एरिया में रहता हूं।,1.2554192543029785,0.6985572576522827,success
54_silk_board_metro_earphone.ogg,Main Silk Board ke paas rehta hoon,मेरा घर silk board के पास है.,1.26332426071167,0.9819336,success,ln Dilk Lima,4.843043804168701,success,मेरा गर सिल्ट भोड के पास है,3.214521884918213,success,मेरा घर सिल्क बोर्ड के पास है।,1.2672793865203857,0.8246587514877319,success
55_bellandur_metro_earphone.ogg,Mera ghar Bellandur mein hai,मैं बेलन दूर में रहता हूं.,4.443373680114746,0.9873047,success,ما بلندور مراتا,0.7819766998291016,success,मैं बेलन्दूर मेराता हूँ,3.0993597507476807,success,मैं बेलंदुर में रहता हूं।,1.095731258392334,0.9032334089279175,success
56_sarjapur_metro_earphone.ogg,Main Sarjapur side hoon,मेरा घर शाहजहांपुर side,2.5474236011505127,0.9838867,success,میںنا ن dear sarja pool ..,10.258787155151367,success,मेरा गर सार्जा पूट सार्टेः,3.4654347896575928,success,मेरा घर शाहजहांपुर राइडर!,1.1579384803771973,0.7144820690155029,success
57_bommanahalli_metro_earphone.ogg,Main Bommanahalli mein rehta hoon,,1.7219293117523193,0.0,success,baahhart remote<|hi|>,20.80235767364502,success,आप बोमन रड़ी बारा आप आप,3.525158166885376,success,अबू मंडल द्वारा!,1.4690914154052734,0.5400525331497192,success
58_kr_puram_metro_earphone.ogg,Mera ghar KR Puram mein hai,मेरा घर के बाद forum में है.,2.9603776931762695,0.7685547,success,ویک میں لنڈ پر جھوسpping,27.905324697494507,success,आई आद वर्के आप पुरम नेगे,3.6603922843933105,success,बिरादर के पूरब में।,1.9660451412200928,0.7674447894096375,success
59_peenya_metro_earphone.ogg,Main Peenya area mein hoon,मैं पीलिया side रहता.,1.0508596897125244,0.8911133,success,Madhbindo sa albums,4.457128047943115,success,मैं पीन्टिया साथ त्रब्टां,3.4531588554382324,success,मैप इंडिया पार्ट जाता हूं।,1.6997239589691162,0.6577348113059998,success
60_yeshwanthpur_metro_earphone.ogg,Main Yeshwanthpur mein rehta hoon,मैं यशवंतपुर में रहता हूं.,9.572022199630737,0.96972656,success,já subhanahu ikthabhu,4.583564519882202,success,"अई, यासे chromade me dies.",56.75576138496399,success,यशवंतपुर में रहता हूं।,1.1411247253417969,0.9375814199447632,success
